# UTENTES
---------
ID: 1   | Prioridade: G  | Entrada: 18024  | Tempos: tr: 68, C: 815                
ID: 2   | Prioridade: G  | Entrada: 3096   | Tempos: tr: 99, B: 858, te: 60        
ID: 3   | Prioridade: G  | Entrada: 14781  | Tempos: tr: 12, A: 246, te: 41        
ID: 4   | Prioridade: P  | Entrada: 5807   | Tempos: tr: 49, C: 1016, te: 89       
ID: 5   | Prioridade: G  | Entrada: 15633  | Tempos: tr: 20, B: 594                
ID: 6   | Prioridade: P  | Entrada: 13370  | Tempos: tr: 49, te: 107               
ID: 7   | Prioridade: G  | Entrada: 23595  | Tempos: tr: 95, B: 177                
ID: 8   | Prioridade: P  | Entrada: 11965  | Tempos: tr: 113, A: 17                
ID: 9   | Prioridade: G  | Entrada: 21063  | Tempos: tr: 172, C: 858, te: 33       
ID: 10  | Prioridade: G  | Entrada: 11002  | Tempos: tr: 33, te: 9                 
ID: 11  | Prioridade: G  | Entrada: 6084   | Tempos: tr: 1, B: 707                 
ID: 12  | Prioridade: G  | Entrada: 15339  | Tempos: tr: 1, C: 1102, te: 89        
ID: 13  | Prioridade: G  | Entrada: 2208   | Tempos: tr: 74, B: 280                
ID: 14  | Prioridade: R  | Entrada: 8413   | Tempos: tr: 35, C: 297, te: 27, C_volta: 74
ID: 15  | Prioridade: G  | Entrada: 27842  | Tempos: tr: 11, A: 1244               
ID: 16  | Prioridade: P  | Entrada: 18366  | Tempos: tr: 39, A: 1079               
ID: 17  | Prioridade: G  | Entrada: 19244  | Tempos: tr: 133, A: 1257              
ID: 18  | Prioridade: G  | Entrada: 28107  | Tempos: tr: 3, A: 187                 
ID: 19  | Prioridade: P  | Entrada: 20144  | Tempos: tr: 0, A: 1532                
ID: 20  | Prioridade: G  | Entrada: 17393  | Tempos: tr: 33, B: 562                
ID: 21  | Prioridade: G  | Entrada: 21551  | Tempos: tr: 20, B: 347                
ID: 22  | Prioridade: G  | Entrada: 9746   | Tempos: tr: 3, A: 40                  
ID: 23  | Prioridade: G  | Entrada: 475    | Tempos: tr: 99, B: 409                
ID: 24  | Prioridade: P  | Entrada: 13167  | Tempos: tr: 30, A: 286                
ID: 25  | Prioridade: R  | Entrada: 14675  | Tempos: tr: 39, B: 102, te: 117, B_volta: 358
ID: 26  | Prioridade: G  | Entrada: 16377  | Tempos: tr: 159, te: 26               
ID: 27  | Prioridade: P  | Entrada: 24611  | Tempos: tr: 19, A: 1539               
ID: 28  | Prioridade: P  | Entrada: 11315  | Tempos: tr: 65, A: 1160               
ID: 29  | Prioridade: P  | Entrada: 18516  | Tempos: tr: 88, B: 661                
ID: 30  | Prioridade: G  | Entrada: 15424  | Tempos: tr: 52, B: 594, te: 25        
ID: 31  | Prioridade: G  | Entrada: 17346  | Tempos: tr: 82, C: 819, te: 116       
ID: 32  | Prioridade: G  | Entrada: 23745  | Tempos: tr: 27, C: 714                
ID: 33  | Prioridade: G  | Entrada: 9583   | Tempos: tr: 153, A: 1153, te: 58      
